reference_date,location,age_group,report_date,confirm,new_confirm,delay,day_of_week,not_thursday
2021-04-06,DE,00+,2021-09-30,708,0,177,Thu,0
2021-04-07,DE,00+,2021-09-30,1120,0,176,Thu,0
2021-04-08,DE,00+,2021-09-30,1552,0,175,Thu,0
2021-04-09,DE,00+,2021-09-30,1403,0,174,Thu,0
2021-04-10,DE,00+,2021-09-30,1281,0,173,Thu,0
2021-04-11,DE,00+,2021-09-30,901,0,172,Thu,0
2021-04-12,DE,00+,2021-09-30,625,0,171,Thu,0
2021-04-13,DE,00+,2021-09-30,1041,0,170,Thu,0
2021-04-14,DE,00+,2021-09-30,1422,0,169,Thu,0
2021-04-15,DE,00+,2021-09-30,1417,0,168,Thu,0
2021-04-16,DE,00+,2021-09-30,1257,0,167,Thu,0
2021-04-17,DE,00+,2021-09-30,1198,0,166,Thu,0
2021-04-18,DE,00+,2021-09-30,888,0,165,Thu,0
2021-04-19,DE,00+,2021-09-30,610,0,164,Thu,0
2021-04-20,DE,00+,2021-09-30,1120,0,163,Thu,0
2021-04-21,DE,00+,2021-09-30,1496,0,162,Thu,0
2021-04-22,DE,00+,2021-09-30,1390,0,161,Thu,0
2021-04-23,DE,00+,2021-09-30,1348,0,160,Thu,0
2021-04-24,DE,00+,2021-09-30,1220,0,159,Thu,0
2021-04-25,DE,00+,2021-09-30,892,0,158,Thu,0
2021-04-26,DE,00+,2021-09-30,542,0,157,Thu,0
2021-04-27,DE,00+,2021-09-30,971,0,156,Thu,0
2021-04-28,DE,00+,2021-09-30,1235,0,155,Thu,0
2021-04-29,DE,00+,2021-09-30,1208,0,154,Thu,0
2021-04-30,DE,00+,2021-09-30,1075,0,153,Thu,0
2021-05-01,DE,00+,2021-09-30,1007,0,152,Thu,0
2021-05-02,DE,00+,2021-09-30,781,0,151,Thu,0
2021-05-03,DE,00+,2021-09-30,467,0,150,Thu,0
2021-05-04,DE,00+,2021-09-30,823,0,149,Thu,0
2021-05-05,DE,00+,2021-09-30,1028,0,148,Thu,0
2021-05-06,DE,00+,2021-09-30,1016,0,147,Thu,0
2021-05-07,DE,00+,2021-09-30,892,0,146,Thu,0
2021-05-08,DE,00+,2021-09-30,822,0,145,Thu,0
2021-05-09,DE,00+,2021-09-30,561,0,144,Thu,0
2021-05-10,DE,00+,2021-09-30,364,0,143,Thu,0
2021-05-11,DE,00+,2021-09-30,640,0,142,Thu,0
2021-05-12,DE,00+,2021-09-30,866,0,141,Thu,0
2021-05-13,DE,00+,2021-09-30,808,0,140,Thu,0
2021-05-14,DE,00+,2021-09-30,471,0,139,Thu,0
2021-05-15,DE,00+,2021-09-30,456,0,138,Thu,0
2021-05-16,DE,00+,2021-09-30,480,0,137,Thu,0
2021-05-17,DE,00+,2021-09-30,327,0,136,Thu,0
2021-05-18,DE,00+,2021-09-30,488,0,135,Thu,0
2021-05-19,DE,00+,2021-09-30,581,0,134,Thu,0
2021-05-20,DE,00+,2021-09-30,542,0,133,Thu,0
2021-05-21,DE,00+,2021-09-30,404,0,132,Thu,0
2021-05-22,DE,00+,2021-09-30,391,0,131,Thu,0
2021-05-23,DE,00+,2021-09-30,246,0,130,Thu,0
2021-05-24,DE,00+,2021-09-30,131,0,129,Thu,0
2021-05-25,DE,00+,2021-09-30,159,0,128,Thu,0
2021-05-26,DE,00+,2021-09-30,300,0,127,Thu,0
