location,age_group,report_date,reference_date,confirm,day_of_week,not_thursday
DE,00+,2021-07-13,,0,Tue,1
DE,00+,2021-07-14,,0,Wed,1
DE,00+,2021-07-15,,0,Thu,0
DE,00+,2021-07-16,,0,Fri,1
DE,00+,2021-07-17,,0,Sat,1
DE,00+,2021-07-18,,0,Sun,1
DE,00+,2021-07-19,,0,Mon,1
DE,00+,2021-07-20,,0,Tue,1
DE,00+,2021-07-21,,0,Wed,1
DE,00+,2021-07-22,,0,Thu,0
DE,00+,2021-07-23,,0,Fri,1
DE,00+,2021-07-24,,0,Sat,1
DE,00+,2021-07-25,,0,Sun,1
DE,00+,2021-07-26,,0,Mon,1
DE,00+,2021-07-27,,0,Tue,1
DE,00+,2021-07-28,,0,Wed,1
DE,00+,2021-07-29,,0,Thu,0
DE,00+,2021-07-30,,0,Fri,1
DE,00+,2021-07-31,,0,Sat,1
DE,00+,2021-08-01,,0,Sun,1
DE,00+,2021-08-02,,0,Mon,1
DE,00+,2021-08-03,,0,Tue,1
DE,00+,2021-08-04,,0,Wed,1
DE,00+,2021-08-05,,0,Thu,0
DE,00+,2021-08-06,,0,Fri,1
DE,00+,2021-08-07,,0,Sat,1
DE,00+,2021-08-08,,0,Sun,1
DE,00+,2021-08-09,,0,Mon,1
DE,00+,2021-08-10,,0,Tue,1
DE,00+,2021-08-11,,0,Wed,1
DE,00+,2021-08-12,,0,Thu,0
DE,00+,2021-08-13,,0,Fri,1
DE,00+,2021-08-14,,0,Sat,1
DE,00+,2021-08-15,,0,Sun,1
DE,00+,2021-08-16,,0,Mon,1
DE,00+,2021-08-17,,0,Tue,1
DE,00+,2021-08-18,,0,Wed,1
DE,00+,2021-08-19,,0,Thu,0
DE,00+,2021-08-20,,0,Fri,1
DE,00+,2021-08-21,,0,Sat,1
DE,00+,2021-08-22,,0,Sun,1
DE,00+,2021-07-13,2021-07-13,0,Tue,1
DE,00+,2021-07-14,2021-07-13,0,Wed,1
DE,00+,2021-07-15,2021-07-13,36,Thu,0
DE,00+,2021-07-16,2021-07-13,0,Fri,1
DE,00+,2021-07-17,2021-07-13,0,Sat,1
DE,00+,2021-07-18,2021-07-13,0,Sun,1
DE,00+,2021-07-19,2021-07-13,0,Mon,1
DE,00+,2021-07-20,2021-07-13,0,Tue,1
DE,00+,2021-07-21,2021-07-13,0,Wed,1
DE,00+,2021-07-22,2021-07-13,53,Thu,0
DE,00+,2021-07-23,2021-07-13,0,Fri,1
DE,00+,2021-07-24,2021-07-13,0,Sat,1
DE,00+,2021-07-25,2021-07-13,0,Sun,1
DE,00+,2021-07-26,2021-07-13,0,Mon,1
DE,00+,2021-07-27,2021-07-13,0,Tue,1
DE,00+,2021-07-28,2021-07-13,0,Wed,1
DE,00+,2021-07-29,2021-07-13,56,Thu,0
DE,00+,2021-07-30,2021-07-13,0,Fri,1
DE,00+,2021-07-31,2021-07-13,0,Sat,1
DE,00+,2021-08-01,2021-07-13,0,Sun,1
DE,00+,2021-08-02,2021-07-13,0,Mon,1
DE,00+,2021-08-03,2021-07-13,0,Tue,1
DE,00+,2021-08-04,2021-07-13,0,Wed,1
DE,00+,2021-08-05,2021-07-13,59,Thu,0
DE,00+,2021-08-06,2021-07-13,0,Fri,1
DE,00+,2021-08-07,2021-07-13,0,Sat,1
DE,00+,2021-08-08,2021-07-13,0,Sun,1
DE,00+,2021-08-09,2021-07-13,0,Mon,1
DE,00+,2021-08-10,2021-07-13,0,Tue,1
DE,00+,2021-08-11,2021-07-13,0,Wed,1
DE,00+,2021-08-12,2021-07-13,59,Thu,0
DE,00+,2021-08-13,2021-07-13,0,Fri,1
DE,00+,2021-08-14,2021-07-13,0,Sat,1
DE,00+,2021-08-15,2021-07-13,0,Sun,1
DE,00+,2021-08-16,2021-07-13,0,Mon,1
DE,00+,2021-08-17,2021-07-13,0,Tue,1
DE,00+,2021-08-18,2021-07-13,0,Wed,1
DE,00+,2021-08-19,2021-07-13,59,Thu,0
DE,00+,2021-08-20,2021-07-13,0,Fri,1
DE,00+,2021-08-21,2021-07-13,0,Sat,1
DE,00+,2021-08-22,2021-07-13,0,Sun,1
DE,00+,2021-07-14,2021-07-14,0,Wed,1
DE,00+,2021-07-15,2021-07-14,34,Thu,0
DE,00+,2021-07-16,2021-07-14,0,Fri,1
DE,00+,2021-07-17,2021-07-14,0,Sat,1
DE,00+,2021-07-18,2021-07-14,0,Sun,1
DE,00+,2021-07-19,2021-07-14,0,Mon,1
DE,00+,2021-07-20,2021-07-14,0,Tue,1
DE,00+,2021-07-21,2021-07-14,0,Wed,1
DE,00+,2021-07-22,2021-07-14,61,Thu,0
DE,00+,2021-07-23,2021-07-14,0,Fri,1
DE,00+,2021-07-24,2021-07-14,0,Sat,1
DE,00+,2021-07-25,2021-07-14,0,Sun,1
DE,00+,2021-07-26,2021-07-14,0,Mon,1
DE,00+,2021-07-27,2021-07-14,0,Tue,1
DE,00+,2021-07-28,2021-07-14,0,Wed,1
DE,00+,2021-07-29,2021-07-14,69,Thu,0
DE,00+,2021-07-30,2021-07-14,0,Fri,1
DE,00+,2021-07-31,2021-07-14,0,Sat,1
DE,00+,2021-08-01,2021-07-14,0,Sun,1
DE,00+,2021-08-02,2021-07-14,0,Mon,1
DE,00+,2021-08-03,2021-07-14,0,Tue,1
DE,00+,2021-08-04,2021-07-14,0,Wed,1
DE,00+,2021-08-05,2021-07-14,70,Thu,0
DE,00+,2021-08-06,2021-07-14,0,Fri,1
DE,00+,2021-08-07,2021-07-14,0,Sat,1
DE,00+,2021-08-08,2021-07-14,0,Sun,1
DE,00+,2021-08-09,2021-07-14,0,Mon,1
DE,00+,2021-08-10,2021-07-14,0,Tue,1
DE,00+,2021-08-11,2021-07-14,0,Wed,1
DE,00+,2021-08-12,2021-07-14,72,Thu,0
DE,00+,2021-08-13,2021-07-14,0,Fri,1
DE,00+,2021-08-14,2021-07-14,0,Sat,1
DE,00+,2021-08-15,2021-07-14,0,Sun,1
DE,00+,2021-08-16,2021-07-14,0,Mon,1
DE,00+,2021-08-17,2021-07-14,0,Tue,1
DE,00+,2021-08-18,2021-07-14,0,Wed,1
DE,00+,2021-08-19,2021-07-14,72,Thu,0
DE,00+,2021-08-20,2021-07-14,0,Fri,1
DE,00+,2021-08-21,2021-07-14,0,Sat,1
DE,00+,2021-08-22,2021-07-14,0,Sun,1
DE,00+,2021-07-15,2021-07-15,28,Thu,0
DE,00+,2021-07-16,2021-07-15,0,Fri,1
DE,00+,2021-07-17,2021-07-15,0,Sat,1
DE,00+,2021-07-18,2021-07-15,0,Sun,1
DE,00+,2021-07-19,2021-07-15,0,Mon,1
DE,00+,2021-07-20,2021-07-15,0,Tue,1
DE,00+,2021-07-21,2021-07-15,0,Wed,1
DE,00+,2021-07-22,2021-07-15,55,Thu,0
DE,00+,2021-07-23,2021-07-15,0,Fri,1
DE,00+,2021-07-24,2021-07-15,0,Sat,1
DE,00+,2021-07-25,2021-07-15,0,Sun,1
DE,00+,2021-07-26,2021-07-15,0,Mon,1
DE,00+,2021-07-27,2021-07-15,0,Tue,1
DE,00+,2021-07-28,2021-07-15,0,Wed,1
DE,00+,2021-07-29,2021-07-15,66,Thu,0
DE,00+,2021-07-30,2021-07-15,0,Fri,1
DE,00+,2021-07-31,2021-07-15,0,Sat,1
DE,00+,2021-08-01,2021-07-15,0,Sun,1
DE,00+,2021-08-02,2021-07-15,0,Mon,1
DE,00+,2021-08-03,2021-07-15,0,Tue,1
DE,00+,2021-08-04,2021-07-15,0,Wed,1
DE,00+,2021-08-05,2021-07-15,69,Thu,0
DE,00+,2021-08-06,2021-07-15,0,Fri,1
DE,00+,2021-08-07,2021-07-15,0,Sat,1
DE,00+,2021-08-08,2021-07-15,0,Sun,1
DE,00+,2021-08-09,2021-07-15,0,Mon,1
DE,00+,2021-08-10,2021-07-15,0,Tue,1
DE,00+,2021-08-11,2021-07-15,0,Wed,1
DE,00+,2021-08-12,2021-07-15,69,Thu,0
DE,00+,2021-08-13,2021-07-15,0,Fri,1
DE,00+,2021-08-14,2021-07-15,0,Sat,1
DE,00+,2021-08-15,2021-07-15,0,Sun,1
DE,00+,2021-08-16,2021-07-15,0,Mon,1
DE,00+,2021-08-17,2021-07-15,0,Tue,1
DE,00+,2021-08-18,2021-07-15,0,Wed,1
DE,00+,2021-08-19,2021-07-15,69,Thu,0
DE,00+,2021-08-20,2021-07-15,0,Fri,1
DE,00+,2021-08-21,2021-07-15,0,Sat,1
DE,00+,2021-08-22,2021-07-15,0,Sun,1
DE,00+,2021-07-16,2021-07-16,0,Fri,1
DE,00+,2021-07-17,2021-07-16,0,Sat,1
DE,00+,2021-07-18,2021-07-16,0,Sun,1
DE,00+,2021-07-19,2021-07-16,0,Mon,1
DE,00+,2021-07-20,2021-07-16,0,Tue,1
DE,00+,2021-07-21,2021-07-16,0,Wed,1
DE,00+,2021-07-22,2021-07-16,38,Thu,0
DE,00+,2021-07-23,2021-07-16,0,Fri,1
DE,00+,2021-07-24,2021-07-16,0,Sat,1
DE,00+,2021-07-25,2021-07-16,0,Sun,1
DE,00+,2021-07-26,2021-07-16,0,Mon,1
DE,00+,2021-07-27,2021-07-16,0,Tue,1
DE,00+,2021-07-28,2021-07-16,0,Wed,1
DE,00+,2021-07-29,2021-07-16,46,Thu,0
DE,00+,2021-07-30,2021-07-16,0,Fri,1
DE,00+,2021-07-31,2021-07-16,0,Sat,1
DE,00+,2021-08-01,2021-07-16,0,Sun,1
DE,00+,2021-08-02,2021-07-16,0,Mon,1
DE,00+,2021-08-03,2021-07-16,0,Tue,1
DE,00+,2021-08-04,2021-07-16,0,Wed,1
DE,00+,2021-08-05,2021-07-16,47,Thu,0
DE,00+,2021-08-06,2021-07-16,0,Fri,1
DE,00+,2021-08-07,2021-07-16,0,Sat,1
DE,00+,2021-08-08,2021-07-16,0,Sun,1
DE,00+,2021-08-09,2021-07-16,0,Mon,1
DE,00+,2021-08-10,2021-07-16,0,Tue,1
DE,00+,2021-08-11,2021-07-16,0,Wed,1
DE,00+,2021-08-12,2021-07-16,47,Thu,0
DE,00+,2021-08-13,2021-07-16,0,Fri,1
DE,00+,2021-08-14,2021-07-16,0,Sat,1
DE,00+,2021-08-15,2021-07-16,0,Sun,1
DE,00+,2021-08-16,2021-07-16,0,Mon,1
DE,00+,2021-08-17,2021-07-16,0,Tue,1
DE,00+,2021-08-18,2021-07-16,0,Wed,1
DE,00+,2021-08-19,2021-07-16,47,Thu,0
DE,00+,2021-08-20,2021-07-16,0,Fri,1
DE,00+,2021-08-21,2021-07-16,0,Sat,1
DE,00+,2021-08-22,2021-07-16,0,Sun,1
DE,00+,2021-07-17,2021-07-17,0,Sat,1
DE,00+,2021-07-18,2021-07-17,0,Sun,1
DE,00+,2021-07-19,2021-07-17,0,Mon,1
DE,00+,2021-07-20,2021-07-17,0,Tue,1
DE,00+,2021-07-21,2021-07-17,0,Wed,1
DE,00+,2021-07-22,2021-07-17,44,Thu,0
DE,00+,2021-07-23,2021-07-17,0,Fri,1
DE,00+,2021-07-24,2021-07-17,0,Sat,1
DE,00+,2021-07-25,2021-07-17,0,Sun,1
DE,00+,2021-07-26,2021-07-17,0,Mon,1
DE,00+,2021-07-27,2021-07-17,0,Tue,1
DE,00+,2021-07-28,2021-07-17,0,Wed,1
DE,00+,2021-07-29,2021-07-17,57,Thu,0
DE,00+,2021-07-30,2021-07-17,0,Fri,1
DE,00+,2021-07-31,2021-07-17,0,Sat,1
DE,00+,2021-08-01,2021-07-17,0,Sun,1
DE,00+,2021-08-02,2021-07-17,0,Mon,1
DE,00+,2021-08-03,2021-07-17,0,Tue,1
DE,00+,2021-08-04,2021-07-17,0,Wed,1
DE,00+,2021-08-05,2021-07-17,63,Thu,0
DE,00+,2021-08-06,2021-07-17,0,Fri,1
DE,00+,2021-08-07,2021-07-17,0,Sat,1
DE,00+,2021-08-08,2021-07-17,0,Sun,1
DE,00+,2021-08-09,2021-07-17,0,Mon,1
DE,00+,2021-08-10,2021-07-17,0,Tue,1
DE,00+,2021-08-11,2021-07-17,0,Wed,1
DE,00+,2021-08-12,2021-07-17,63,Thu,0
DE,00+,2021-08-13,2021-07-17,0,Fri,1
DE,00+,2021-08-14,2021-07-17,0,Sat,1
DE,00+,2021-08-15,2021-07-17,0,Sun,1
DE,00+,2021-08-16,2021-07-17,0,Mon,1
DE,00+,2021-08-17,2021-07-17,0,Tue,1
DE,00+,2021-08-18,2021-07-17,0,Wed,1
DE,00+,2021-08-19,2021-07-17,65,Thu,0
DE,00+,2021-08-20,2021-07-17,0,Fri,1
DE,00+,2021-08-21,2021-07-17,0,Sat,1
DE,00+,2021-08-22,2021-07-17,0,Sun,1
DE,00+,2021-07-18,2021-07-18,0,Sun,1
DE,00+,2021-07-19,2021-07-18,0,Mon,1
DE,00+,2021-07-20,2021-07-18,0,Tue,1
DE,00+,2021-07-21,2021-07-18,0,Wed,1
DE,00+,2021-07-22,2021-07-18,25,Thu,0
DE,00+,2021-07-23,2021-07-18,0,Fri,1
DE,00+,2021-07-24,2021-07-18,0,Sat,1
DE,00+,2021-07-25,2021-07-18,0,Sun,1
DE,00+,2021-07-26,2021-07-18,0,Mon,1
DE,00+,2021-07-27,2021-07-18,0,Tue,1
DE,00+,2021-07-28,2021-07-18,0,Wed,1
DE,00+,2021-07-29,2021-07-18,39,Thu,0
DE,00+,2021-07-30,2021-07-18,0,Fri,1
DE,00+,2021-07-31,2021-07-18,0,Sat,1
DE,00+,2021-08-01,2021-07-18,0,Sun,1
DE,00+,2021-08-02,2021-07-18,0,Mon,1
DE,00+,2021-08-03,2021-07-18,0,Tue,1
DE,00+,2021-08-04,2021-07-18,0,Wed,1
DE,00+,2021-08-05,2021-07-18,44,Thu,0
DE,00+,2021-08-06,2021-07-18,0,Fri,1
DE,00+,2021-08-07,2021-07-18,0,Sat,1
DE,00+,2021-08-08,2021-07-18,0,Sun,1
DE,00+,2021-08-09,2021-07-18,0,Mon,1
DE,00+,2021-08-10,2021-07-18,0,Tue,1
DE,00+,2021-08-11,2021-07-18,0,Wed,1
DE,00+,2021-08-12,2021-07-18,49,Thu,0
DE,00+,2021-08-13,2021-07-18,0,Fri,1
DE,00+,2021-08-14,2021-07-18,0,Sat,1
DE,00+,2021-08-15,2021-07-18,0,Sun,1
DE,00+,2021-08-16,2021-07-18,0,Mon,1
DE,00+,2021-08-17,2021-07-18,0,Tue,1
DE,00+,2021-08-18,2021-07-18,0,Wed,1
DE,00+,2021-08-19,2021-07-18,49,Thu,0
DE,00+,2021-08-20,2021-07-18,0,Fri,1
DE,00+,2021-08-21,2021-07-18,0,Sat,1
DE,00+,2021-08-22,2021-07-18,0,Sun,1
DE,00+,2021-07-19,2021-07-19,0,Mon,1
DE,00+,2021-07-20,2021-07-19,0,Tue,1
DE,00+,2021-07-21,2021-07-19,0,Wed,1
